fight_id,event_id,date,r_name,b_name,r_age,b_age,r_height,b_height,r_weight,b_weight,weight_class,rprev,bprev,bstreak,winner,r_win,win_method,last_round,max_round,height_diff,age_diff,r_sig_strikes_landed,r_sig_strikes_attempted,r_sig_strike_accuracy,r_total_strikes_landed,r_total_strikes_attempted,r_knockdowns,r_takedowns_landed,r_takedowns_attempted,r_takedown_accuracy,r_sub_attempts,r_head_sig_strikes,r_body_sig_strikes,r_distance_strikes,r_clinch_sig_strikes,r_ground_sig_strikes,r_control_time,b_sig_strikes_landed,b_sig_strikes_attempted,b_sig_strike_accuracy,b_total_strikes_landed,b_total_strikes_attempted,b_knockdowns,b_takedowns_landed,b_takedowns_attempted,b_takedown_accuracy,b_sub_attempts,b_head_sig_strikes,b_body_sig_strikes,b_distance_strikes,b_clinch_sig_strikes,b_ground_sig_strikes,b_control_time,sig_strike_diff,takedown_diff,knockdown_diff,control_time_diff,strike_accuracy_diff
5155,698,2015-01-20,Zhang Lipeng,Chris Wade,28.0,31.0,180.0,177.0,70.0,70.0,Lightweight,2,1,1,blue,0,Decision,3,3,3.0,-3.0,29.0,65.0,44.61538461538462,167.0,239.0,0.0,6.0,14.0,42.857142857142854,3.0,11.0,6.0,17.0,7.0,5.0,632.0,0.0,1.0,0.0,5.0,6.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,29.0,5.0,0.0,570.0,44.61538461538462
5156,698,2015-01-20,Matt Van Buren,Sean O'Connell,32.0,35.0,195.0,185.0,93.0,93.0,Light Heavyweight,1,2,0,blue,0,KO/TKO,3,3,10.0,-3.0,2.0,10.0,20.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,124.0,253.0,49.01185770750988,194.0,332.0,1.0,0.0,5.0,0.0,2.0,76.0,26.0,97.0,27.0,0.0,252.0,-122.0,0.0,-1.0,-252.0,-29.011857707509883
5173,698,2015-01-20,Charles Rosa,Sean Soriano,32.0,29.0,175.0,175.0,65.0,65.0,Featherweight,1,2,0,red,1,Submission,3,3,0.0,3.0,22.0,91.0,24.175824175824175,29.0,99.0,0.0,2.0,4.0,50.0,1.0,15.0,2.0,22.0,0.0,0.0,103.0,43.0,74.0,58.108108108108105,57.0,91.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,20.0,10.0,13.0,187.0,-21.0,2.0,0.0,-84.0,-33.93228393228393
5186,698,2015-01-20,Johnny Case,Frankie Perez,29.0,29.0,177.0,180.0,70.0,70.0,Lightweight,1,0,0,red,1,KO/TKO,3,3,-3.0,0.0,13.0,73.0,17.80821917808219,20.0,80.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5111,699,2015-02-02,Thiago Santos,Andy Enz,34.0,27.0,187.0,190.0,93.0,84.0,Light Heavyweight,2,2,0,red,1,KO/TKO,1,3,-3.0,7.0,51.0,145.0,35.172413793103445,56.0,150.0,1.0,0.0,2.0,0.0,0.0,14.0,5.0,37.0,5.0,9.0,73.0,111.0,454.0,24.44933920704846,120.0,464.0,0.0,0.0,1.0,0.0,0.0,73.0,22.0,109.0,2.0,0.0,7.0,-60.0,0.0,1.0,66.0,10.723074586054985
5112,699,2015-02-02,Jordan Mein,Thiago Alves,28.0,35.0,182.0,175.0,77.0,77.0,Welterweight,2,1,1,blue,0,KO/TKO,2,3,7.0,-7.0,56.0,99.0,56.56565656565656,72.0,117.0,1.0,4.0,4.0,100.0,0.0,34.0,10.0,42.0,1.0,13.0,244.0,116.0,236.0,49.152542372881356,120.0,240.0,0.0,0.0,1.0,0.0,0.0,45.0,19.0,106.0,10.0,0.0,0.0,-60.0,4.0,1.0,244.0,7.413114192775204
5113,699,2015-02-02,Richardson Moreira,Ildemar Alcantara,34.0,35.0,187.0,187.0,84.0,84.0,Middleweight,1,2,0,blue,0,Decision,3,3,0.0,-1.0,3.0,4.0,75.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,72.0,152.0,47.368421052631575,100.0,186.0,0.0,5.0,9.0,55.55555555555556,0.0,45.0,17.0,38.0,19.0,15.0,360.0,-69.0,-5.0,0.0,-360.0,27.631578947368425
5140,699,2015-02-02,Miesha Tate,Sara McMann,32.0,38.0,167.0,167.0,61.0,61.0,Bantamweight,2,2,1,red,1,Decision,3,3,0.0,-6.0,82.0,173.0,47.398843930635834,170.0,274.0,0.0,2.0,11.0,18.181818181818183,2.0,53.0,20.0,37.0,28.0,17.0,559.0,51.0,100.0,51.0,78.0,133.0,0.0,5.0,9.0,55.55555555555556,0.0,31.0,11.0,27.0,11.0,13.0,641.0,31.0,-3.0,0.0,-82.0,-3.6011560693641655
5151,699,2015-02-02,Tyron Woodley,Kelvin Gastelum,36.0,26.0,175.0,175.0,77.0,84.0,Welterweight,3,3,3,red,1,Decision,3,3,0.0,10.0,53.0,125.0,42.4,85.0,158.0,2.0,3.0,5.0,60.0,0.0,28.0,13.0,27.0,20.0,6.0,229.0,142.0,347.0,40.92219020172911,188.0,398.0,0.0,2.0,4.0,50.0,1.0,104.0,21.0,115.0,18.0,9.0,279.0,-89.0,1.0,2.0,-50.0,1.47780979827089
5152,699,2015-02-02,Rafael Natal,Tom Watson,35.0,36.0,182.0,185.0,84.0,84.0,Middleweight,2,2,1,red,1,Decision,3,3,-3.0,-1.0,71.0,146.0,48.63013698630137,117.0,198.0,0.0,3.0,18.0,16.666666666666664,0.0,21.0,24.0,49.0,14.0,8.0,458.0,135.0,316.0,42.721518987341774,140.0,322.0,0.0,0.0,4.0,0.0,0.0,54.0,13.0,121.0,12.0,2.0,90.0,-64.0,3.0,0.0,368.0,5.908617998959599
